Video_ID,Video_Title,City,Activity,Reason,Activity_Simple,Reason_Simple
11,_WA-kBCxvMc.,Paris,looking at the Eiffel Tower from the ground,overrated,Sights,Value
11,_WA-kBCxvMc.,Paris,walking down a street with buildings,unnecessary,Sights,Value
11,_WA-kBCxvMc.,Paris,standing in front of a large building,misses out on other cities,Sights,Value
11,_WA-kBCxvMc.,Paris,walking through a large room with chandeliers,not as beautiful,Sights,Value
12,wSYnQzZrWA,Paris,dinner cruises on the seine river,overpriced and mediocre meal,Commerce,Value
12,wSYnQzZrWA,Paris,group bus tours to versailles,time-limited exploration and expensive,Mobility,Friction
12,wSYnQzZrWA,Paris,waiting until arrival to get tickets,often booked out for weeks in advance,Logistics,Friction
13,doHwzBVkCSA,Paris,visiting Sacré-Cœur after 9:00 am,crowded,Logistics,Crowd
13,doHwzBVkCSA,Paris,buying Eiffel Tower tickets on site,long lines,Logistics,Crowd
13,doHwzBVkCSA,Paris,using cars or taxis,traffic congestion,Mobility,Friction
13,doHwzBVkCSA,Paris,expecting everyone to speak English,language barrier,Conduct,Friction
13,doHwzBVkCSA,Paris,rushing from sight to sight,overwhelming,Logistics,Friction
13,doHwzBVkCSA,Paris,being afraid to try typical French dishes,fear of unfamiliar food,Commerce,Value
14,Kr7PWSxwgd4,Paris,using phone by metro doors,dangerous,Mobility,Risk
14,Kr7PWSxwgd4,Paris,whistling the metro,unwise,Mobility,Risk
14,Kr7PWSxwgd4,Paris,pickpocketing,common,Risk,Risk
15,zjAsTm0Nd40,Paris,thinking that the Eiffel Tower is the center of Paris,far from other main attractions,Sights,Friction
15,zjAsTm0Nd40,Paris,not learning basic French words,locals appreciate effort in speaking French,Conduct,Norms
15,zjAsTm0Nd40,Paris,traveling during summer,lots of crowds and more expensive,Logistics,Crowd
16,Fm8ohbqAMKA,Seoul,drinking on the bus,strictly prohibited,Mobility,Rules
16,Fm8ohbqAMKA,Seoul,entering a taxi from the left side,door will be locked or driver will drive away,Mobility,Friction
16,Fm8ohbqAMKA,Seoul,leaving a bike unlocked,bike can get stolen,Risk,Risk
17,GCL6LX0MAjs,Seoul,talking to strangers,Koreans do not talk to strangers,Conduct,Norms
17,GCL6LX0MAjs,Seoul,looking at people,it's considered rude,Conduct,Norms
17,GCL6LX0MAjs,Seoul,wearing shoes indoors,it's a sign of disrespect,Conduct,Norms
17,GCL6LX0MAjs,Seoul,using 'please' while paying,it's impolite,Commerce,Norms
17,GCL6LX0MAjs,Seoul,holding paper money,it's unhygienic,Conduct,Norms
17,GCL6LX0MAjs,Seoul,giving food to strangers,it's disrespectful,Risk,Norms
17,GCL6LX0MAjs,Seoul,leaving bicycles unlocked,bicycles can be stolen,Risk,Risk
18,qlntCoEjEbQ,Seoul,hailing a taxi,most taxi drivers do not speak English,Mobility,Friction
18,qlntCoEjEbQ,Seoul,traveling during autumn and spring,accommodation and flights are expensive and crowded,Logistics,Crowd
19,tXJRRImjWi4,Seoul,not knowing about the climate card,climate card saves money,Logistics,Value
19,tXJRRImjWi4,Seoul,applying for K-ETA online,K-ETA is free for certain countries,Logistics,Rules
19,tXJRRImjWi4,Seoul,fully relying on Apple Pay,most shops don't accept Apple Pay,Commerce,Friction
19,tXJRRImjWi4,Seoul,not downloading Navermap or Kakao Map,Google Maps doesn't work,Mobility,Friction
20,QbIZOru-hJk,Seoul,buying cushion foundations,too expensive for less product,Commerce,Value
20,QbIZOru-hJk,Seoul,using eyeshadow palettes,most are similar,Commerce,Value
20,QbIZOru-hJk,Seoul,focusing on global brands,less accessible globally,Commerce,Friction
21,2HHv1AtwmEo,Tokyo,walking,too crowded,Mobility,Crowd
21,2HHv1AtwmEo,Tokyo,eating ramen,wasted time and energy,Commerce,Friction
21,2HHv1AtwmEo,Tokyo,applying makeup,not necessary,Commerce,Value
21,2HHv1AtwmEo,Tokyo,walking at night,not recommended,Risk,Value
21,2HHv1AtwmEo,Tokyo,shopping,expensive,Commerce,Value
21,2HHv1AtwmEo,Tokyo,not staying in a hotel,location,Logistics,Friction
21,2HHv1AtwmEo,Tokyo,not using a coin locker,expensive,Logistics,Value
21,2HHv1AtwmEo,Tokyo,holding a red flare,fun,Risk,Value
22,e8sAA40ll1Y,Tokyo,boarding out-of-service trains,can be misleading,Mobility,Friction
22,e8sAA40ll1Y,Tokyo,using the train like a jungle gym,disruptive,Mobility,Norms
22,e8sAA40ll1Y,Tokyo,ignoring vending machine colors,incorrect temperature,Commerce,Friction
23,mHoPSKu4QT8,Tokyo,opening tax-free bags,tax implications,Commerce,Rules
23,mHoPSKu4QT8,Tokyo,wearing shoes into changing rooms,hygiene concerns,Conduct,Norms
23,mHoPSKu4QT8,Tokyo,ignoring escalator rules,local customs,Mobility,Norms
24,xIGEgePw4Cw,Tokyo,eating while walking,socially awkward,Commerce,Norms
24,xIGEgePw4Cw,Tokyo,talking loudly on trains,noise disturbance,Mobility,Norms
24,xIGEgePw4Cw,Tokyo,skipping the shower before the onsen,disrespectful,Conduct,Norms
24,xIGEgePw4Cw,Tokyo,tipping,seen as rude,Commerce,Norms
24,xIGEgePw4Cw,Tokyo,pointing at animals,considered disrespectful,Conduct,Norms
25,Ri2vqt6m0TQ,Tokyo,lying down on train seats,considered rude,Mobility,Norms
25,Ri2vqt6m0TQ,Tokyo,touching taxi doors,automatic opening,Mobility,Friction
25,Ri2vqt6m0TQ,Tokyo,wearing backpacks the normal way,inconvenient for others,Conduct,Friction
25,Ri2vqt6m0TQ,Tokyo,using toilets incorrectly,unhygienic,Conduct,Norms
25,Ri2vqt6m0TQ,Tokyo,hogging space on trains,disrupts social norms,Mobility,Norms
25,Ri2vqt6m0TQ,Tokyo,drinking from vending machines,not ready to drink,Commerce,Value
